epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,5479.07,0.72852,0.46864,1.74526,0.93102,0.78864,0.86845,0.67184,0.7044,0.43124,1.71018,0.00853555,0.00853555,0.00853555
28,5893.9,0.7224,0.46591,1.73986,0.93177,0.7921,0.86845,0.67253,0.70311,0.42978,1.70697,0.00830658,0.00830658,0.00830658
20,4235.41,0.74367,0.48322,1.76325,0.92924,0.79333,0.86835,0.6588,0.73966,0.45289,1.73792,0.00913541,0.00913541,0.00913541
17,3607.38,0.75685,0.49835,1.77501,0.92054,0.78851,0.8669,0.65585,0.75538,0.47611,1.7524,0.00938154,0.00938154,0.00938154
15,3192.4,0.7694,0.51252,1.79019,0.91938,0.77524,0.86591,0.66183,0.75097,0.50181,1.76957,0.00952414,0.00952414,0.00952414
14,2985.96,0.77518,0.52078,1.79426,0.91363,0.77658,0.86135,0.65316,0.74255,0.49992,1.75284,0.00958878,0.00958878,0.00958878
12,2570.04,0.80296,0.54435,1.82469,0.91735,0.77646,0.8605,0.64567,0.78156,0.52148,1.77803,0.00970441,0.00970441,0.00970441
13,2777.41,0.78751,0.53167,1.80624,0.91507,0.77737,0.85973,0.63971,0.79779,0.51995,1.78386,0.00964889,0.00964889,0.00964889
23,4856.59,0.73678,0.47578,1.75331,0.92808,0.77136,0.85286,0.65931,0.71383,0.46145,1.72681,0.00885258,0.00885258,0.00885258
11,2363.32,0.82348,0.56171,1.8467,0.91166,0.76697,0.84944,0.62982,0.80015,0.55454,1.81458,0.00975529,0.00975529,0.00975529
9,1952.2,0.85072,0.58598,1.87195,0.90853,0.75536,0.84126,0.62005,0.82784,0.57133,1.82521,0.00885558,0.00885558,0.00885558
10,2156.7,0.83904,0.5737,1.86005,0.88715,0.73828,0.83597,0.62771,0.79439,0.6422,1.82013,0.00979844,0.00979844,0.00979844
7,1535.38,0.88406,0.62359,1.90546,0.91159,0.75086,0.83545,0.59495,0.85457,0.60768,1.87502,0.00693494,0.00693494,0.00693494
5,1100.9,0.94555,0.70692,1.98046,0.91391,0.74774,0.82582,0.57546,0.89349,0.69478,1.91224,0.0049772,0.0049772,0.0049772
6,1318.3,0.91134,0.65601,1.9362,0.90309,0.75241,0.82578,0.58679,0.90266,0.62075,1.89317,0.00595999,0.00595999,0.00595999
8,1745.98,0.86429,0.60168,1.88485,0.89586,0.7386,0.82221,0.59833,0.83593,0.65098,1.85299,0.00790061,0.00790061,0.00790061
4,884.244,0.99094,0.77893,2.05345,0.90623,0.72621,0.80096,0.55953,0.91996,0.72246,1.94731,0.00398803,0.00398803,0.00398803
3,665.044,1.0777,0.91498,2.21142,0.89686,0.72041,0.79224,0.50501,1.05311,0.9302,2.12914,0.00299395,0.00299395,0.00299395
2,445.836,1.42313,1.37232,2.831,0.8457,0.67531,0.70215,0.34724,1.53106,1.39752,2.71888,0.00199641,0.00199641,0.00199641
1,224.214,3.31842,3.75868,5.92199,0.59015,0.44584,0.42417,0.1403,2.28177,2.62005,3.92776,0.000996904,0.000996904,0.000996904
