epoch,loss,val_loss
0,0.00716359494253993,0.06516500562429428
1,0.0036793858744204044,0.038484781980514526
2,0.002719833282753825,0.03404794633388519
3,0.0024387992452830076,0.031131191179156303
4,0.002360919490456581,0.027583854272961617
5,0.0021536769345402718,0.022945616394281387
6,0.0020558719988912344,0.021929509937763214
7,0.002024889225140214,0.02457421086728573
8,0.0019468619721010327,0.022745613008737564
9,0.0019585052505135536,0.03175719454884529
10,0.0017760875634849072,0.032562803477048874
11,0.0018170207040384412,0.032112207263708115
0,0.007394257467240095,0.04732934385538101
1,0.007721048779785633,0.046076562255620956
2,0.0071551138535141945,0.049403123557567596
3,0.006627693306654692,0.05565565451979637
4,0.0071620880626142025,0.061724692583084106
5,0.00743642495945096,0.05015155300498009
6,0.007303988561034203,0.06082582101225853
7,0.006447916384786367,0.04437960684299469
8,0.005676744505763054,0.05019427090883255
9,0.005496015306562185,0.05804214999079704
10,0.005556887947022915,0.05787447839975357
11,0.005920198746025562,0.0517440065741539
12,0.005486188922077417,0.04860007017850876
13,0.005253646057099104,0.056799255311489105
14,0.005340361502021551,0.04971039667725563
15,0.005147759802639484,0.055720001459121704
16,0.005081989336758852,0.0669805034995079
17,0.005315008573234081,0.060186658054590225
18,0.005309289321303368,0.07045193761587143
19,0.005140271503478289,0.05109123885631561
20,0.005367890000343323,0.051028862595558167
21,0.005749085918068886,0.04920843616127968
0,0.01901099644601345,0.05075870081782341
1,0.012629513628780842,0.050781991332769394
2,0.010577192530035973,0.05166951194405556
3,0.010334732010960579,0.05650738999247551
4,0.011306442320346832,0.05518835037946701
5,0.012397563084959984,0.0537610724568367
0,0.08033459633588791,0.4733429253101349
0,0.059404436498880386,0.5344828367233276
1,0.06431733816862106,0.5773459672927856
2,0.05800361558794975,0.454387903213501
3,0.05685911327600479,0.41528651118278503
4,0.05633285641670227,0.5045332908630371
0,0.8706939220428467,0.9999958872795105
1,0.756658673286438,0.999997079372406
2,0.6800912022590637,1.0
3,0.5822207927703857,0.6971580386161804
4,0.5070245862007141,0.7340171933174133
5,0.4535417854785919,0.6238541007041931
