epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,6894.27,0.91593,1.43573,0.51506,0.99784,0.89374,0.80271,0.88424,0.54844,0.89902,0.81368,0.89927,0.54707,1.11128,1.44009,1.52106,0.94101,0.007129,0.007129,0.007129
31,7122.81,0.90902,1.4165,0.51604,0.99429,0.88675,0.81407,0.88409,0.54997,0.89306,0.82205,0.89789,0.54988,1.10799,1.44118,1.57014,0.94328,0.00703,0.00703,0.00703
32,7351.38,0.90116,1.40633,0.511,0.99048,0.8974,0.79691,0.88116,0.54955,0.90666,0.80513,0.89775,0.55138,1.11739,1.43251,1.54562,0.94571,0.006931,0.006931,0.006931
33,7579.88,0.896,1.39419,0.50542,0.99071,0.89005,0.80244,0.87838,0.54933,0.90909,0.80996,0.8973,0.55188,1.1228,1.43734,1.48096,0.94571,0.006832,0.006832,0.006832
34,7808.38,0.89331,1.39092,0.50274,0.98809,0.89519,0.80851,0.88387,0.55216,0.90552,0.81818,0.90093,0.55553,1.12487,1.45133,1.4721,0.94977,0.006733,0.006733,0.006733
35,8037.14,0.87725,1.35769,0.49177,0.98175,0.8905,0.80619,0.88188,0.54892,0.89788,0.81208,0.89623,0.55117,1.12551,1.4581,1.50687,0.9529,0.006634,0.006634,0.006634
36,8265.59,0.86557,1.36543,0.48474,0.98185,0.87724,0.81547,0.88146,0.54864,0.88645,0.8267,0.89872,0.55139,1.12674,1.46488,1.50583,0.95325,0.006535,0.006535,0.006535
37,8493.91,0.8593,1.3409,0.48277,0.97735,0.88273,0.81531,0.88497,0.55057,0.89206,0.82544,0.90173,0.55333,1.12565,1.4646,1.46989,0.95325,0.006436,0.006436,0.006436
38,8722.32,0.85135,1.3242,0.47929,0.9723,0.88592,0.80734,0.88356,0.55125,0.89314,0.82452,0.9015,0.55418,1.12785,1.46602,1.48212,0.95573,0.006337,0.006337,0.006337
39,8950.73,0.85341,1.33109,0.47878,0.97377,0.87474,0.82396,0.88916,0.55475,0.88652,0.83484,0.90413,0.55637,1.12675,1.46649,1.46952,0.95689,0.006238,0.006238,0.006238
40,9179.06,0.85017,1.31363,0.4764,0.97376,0.88035,0.8206,0.89056,0.55601,0.8894,0.82882,0.90325,0.55738,1.12499,1.46601,1.46113,0.95665,0.006139,0.006139,0.006139
41,9407.37,0.83513,1.30015,0.46988,0.96784,0.88944,0.81305,0.89115,0.55678,0.88753,0.82804,0.9037,0.55953,1.12209,1.46566,1.44588,0.9547,0.00604,0.00604,0.00604
42,9635.88,0.8268,1.28804,0.4611,0.96379,0.89144,0.80999,0.89195,0.55898,0.89841,0.82103,0.90394,0.55966,1.11942,1.46682,1.43649,0.95351,0.005941,0.005941,0.005941
43,9864.28,0.82638,1.28935,0.46481,0.96609,0.89087,0.81141,0.89268,0.55996,0.89854,0.81796,0.9045,0.55945,1.12062,1.46809,1.42795,0.95415,0.005842,0.005842,0.005842
44,10092.7,0.82251,1.2656,0.45958,0.96196,0.89082,0.81383,0.8933,0.55937,0.89935,0.81721,0.90422,0.55891,1.1211,1.47016,1.42655,0.95567,0.005743,0.005743,0.005743
45,10321,0.82324,1.26732,0.45531,0.96229,0.8939,0.81286,0.89345,0.55864,0.90082,0.81915,0.90529,0.55849,1.12143,1.47364,1.425,0.957,0.005644,0.005644,0.005644
46,10549.5,0.81102,1.25198,0.45129,0.95709,0.89979,0.80658,0.89394,0.55871,0.90759,0.81335,0.90511,0.55788,1.12129,1.47556,1.41946,0.95757,0.005545,0.005545,0.005545
47,10777.7,0.80151,1.24205,0.44578,0.952,0.88764,0.81576,0.89367,0.55823,0.895,0.82253,0.90641,0.55882,1.12103,1.47701,1.42323,0.95867,0.005446,0.005446,0.005446
48,11005.8,0.80066,1.23683,0.44326,0.95253,0.89086,0.8148,0.89475,0.55956,0.89773,0.82108,0.90651,0.55895,1.1201,1.479,1.41463,0.95893,0.005347,0.005347,0.005347
