epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9933.03,0.69263,0.45901,1.50684,0.92929,0.80428,0.87978,0.68897,0.6842,0.42788,1.5154,0.00639856,0.00639856,0.00639856
43,10198.4,0.69031,0.45743,1.50751,0.93001,0.8037,0.87972,0.68923,0.68246,0.42773,1.51507,0.00624721,0.00624721,0.00624721
44,10462.6,0.68761,0.45512,1.50493,0.92885,0.80436,0.87957,0.68964,0.68097,0.42771,1.51462,0.00609463,0.00609463,0.00609463
45,10727.6,0.68507,0.44802,1.50184,0.92969,0.80315,0.87977,0.69011,0.68022,0.42736,1.51492,0.00594097,0.00594097,0.00594097
46,10990.7,0.68099,0.44627,1.49733,0.93112,0.80255,0.88011,0.69028,0.68011,0.42705,1.51532,0.00578639,0.00578639,0.00578639
47,11254.1,0.6786,0.44251,1.49733,0.93222,0.80222,0.88003,0.69062,0.67981,0.42673,1.51513,0.00563104,0.00563104,0.00563104
48,11519.6,0.67654,0.4397,1.49693,0.93205,0.80206,0.87978,0.69067,0.67965,0.42615,1.51495,0.00547507,0.00547507,0.00547507
49,11784,0.67256,0.43834,1.49148,0.93265,0.80118,0.87974,0.69048,0.6801,0.42579,1.51494,0.00531864,0.00531864,0.00531864
50,12048.6,0.66978,0.43495,1.4897,0.93368,0.80068,0.87984,0.69061,0.68052,0.4252,1.5148,0.0051619,0.0051619,0.0051619
51,12313.4,0.66609,0.43359,1.48712,0.93394,0.80099,0.8802,0.69063,0.68066,0.42493,1.51501,0.005005,0.005005,0.005005
52,12578.6,0.66235,0.42789,1.48446,0.93436,0.80049,0.88008,0.69094,0.6806,0.42429,1.51515,0.0048481,0.0048481,0.0048481
53,12841.5,0.66037,0.42611,1.48261,0.93393,0.80008,0.88033,0.69135,0.68049,0.42388,1.51532,0.00469136,0.00469136,0.00469136
54,13106,0.65659,0.42177,1.47991,0.93379,0.80049,0.88044,0.69131,0.68061,0.42328,1.51577,0.00453493,0.00453493,0.00453493
55,13367.8,0.65357,0.42052,1.47828,0.93293,0.8014,0.88069,0.69191,0.68016,0.42279,1.5159,0.00437896,0.00437896,0.00437896
56,13631,0.6484,0.41336,1.4777,0.93401,0.80141,0.88063,0.69213,0.68005,0.42251,1.51609,0.00422361,0.00422361,0.00422361
57,13894.2,0.64409,0.41163,1.4734,0.93384,0.80132,0.88073,0.6919,0.68002,0.42229,1.51646,0.00406903,0.00406903,0.00406903
58,14146.4,0.64303,0.40802,1.47198,0.93372,0.80119,0.88086,0.69235,0.67937,0.42212,1.51646,0.00391537,0.00391537,0.00391537
59,14376.1,0.63742,0.40271,1.46829,0.93426,0.80132,0.88104,0.69289,0.67887,0.42214,1.51663,0.00376279,0.00376279,0.00376279
